"URI","Label","Context_Subject","Context_Object","ContextWeight"
"http://dbpedia.org/ontology/president","president","http://dbpedia.org/ontology/Tenure","http://dbpedia.org/ontology/OfficeHolder",26952
"http://dbpedia.org/ontology/network","network","http://dbpedia.org/ontology/TelevisionShow","http://dbpedia.org/ontology/TelevisionStation",26617
"http://dbpedia.org/property/party","party","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/PoliticalParty",26601
"http://dbpedia.org/ontology/successor","successor","http://dbpedia.org/ontology/Tenure","http://dbpedia.org/ontology/Politician",26266
"http://dbpedia.org/property/rev","rev","http://dbpedia.org/ontology/Album","http://dbpedia.org/ontology/Website",26221
"http://dbpedia.org/property/headCoach","head coach","http://dbpedia.org/ontology/NCAATeamSeason","http://dbpedia.org/ontology/CollegeCoach",25491
"http://dbpedia.org/ontology/education","education","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/University",25247
"http://dbpedia.org/ontology/servingRailwayLine","serving railway line","http://dbpedia.org/ontology/Station","http://dbpedia.org/ontology/RailwayLine",25057
"http://dbpedia.org/property/counties","counties","http://dbpedia.org/ontology/Road","http://dbpedia.org/ontology/AdministrativeRegion",24163
"http://dbpedia.org/property/distributor","distributor","http://dbpedia.org/ontology/Film","http://dbpedia.org/ontology/Company",23963
"http://dbpedia.org/property/author","author","http://dbpedia.org/ontology/Book","http://dbpedia.org/ontology/Writer",22824
"http://dbpedia.org/property/predecessor","predecessor","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/Politician",22494
"http://dbpedia.org/property/music","music","http://dbpedia.org/ontology/Film","http://dbpedia.org/ontology/MusicalArtist",22494
"http://dbpedia.org/property/prevTitle","prev title","http://dbpedia.org/ontology/Song","http://dbpedia.org/ontology/Song",22035
"http://dbpedia.org/ontology/almaMater","alma mater","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/University",21732
"http://dbpedia.org/ontology/publisher","publisher","http://dbpedia.org/ontology/Book","http://dbpedia.org/ontology/Publisher",21723
"http://dbpedia.org/ontology/formerTeam","former team","http://dbpedia.org/ontology/IceHockeyPlayer","http://dbpedia.org/ontology/HockeyTeam",21609
